"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","get started link","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","699","contact page submit with Pk@gmail.com and asdfghjklk","chromium","2026-03-12","passed","2026-03-12","","Instagram.spec.js","",""
"","685","contact page submit","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","10495","test","webkit","2026-03-12","passed","2026-03-12","","flipcart.spec.js","",""
"","5330","test","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","6855","iphone 17 pro","chromium","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","5040","test","firefox","2026-03-12","passed","2026-03-12","","flipcart.spec.js","",""
"","730","contact page submit with aaryan@gmail.com and asdfghjklk","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","7276","test","webkit","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","5934","test","firefox","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","757","contact page submit with Vanish@gmail.com and asdfghjklk","chromium","2026-03-12","passed","2026-03-12","","Instagram.spec.js","",""
"","9135","test","chromium","2026-03-12","passed","2026-03-12","","flipcart.spec.js","",""
"","712","contact page submit with arun@gmail.com and asdfghjklk","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1352","contact page submit with Vanish@gmail.com and asdfghjklk","firefox","2026-03-12","passed","2026-03-12","","Instagram.spec.js","",""
"","3107","contact page submit with arun@gmail.com and asdfghjklk","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1757","contact page submit with Pk@gmail.com and asdfghjklk","webkit","2026-03-12","passed","2026-03-12","","Instagram.spec.js","",""
"","0","has title","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","0","get started link","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","1597","contact page submit","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","549","contact page title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1436","contact page submit with aaryan@gmail.com and asdfghjklk","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1519","contact page submit with Vanish@gmail.com and asdfghjklk","webkit","2026-03-12","passed","2026-03-12","","Instagram.spec.js","",""
"","3644","test","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","6946","test","chromium","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","963","contact page submit","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","0","has title","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","2446","test","chromium","2026-03-12","passed","2026-03-12","","RR.spec.js","",""
"","602","contact page title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1352","contact page submit with Pk@gmail.com and asdfghjklk","firefox","2026-03-12","passed","2026-03-12","","Instagram.spec.js","",""
"","4954","test","webkit","2026-03-12","passed","2026-03-12","","RR.spec.js","",""
"","1","get started link","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","999","contact page submit with aaryan@gmail.com and asdfghjklk","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","5843","iphone 17 pro","webkit","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
"","4525","test","firefox","2026-03-12","passed","2026-03-12","","RR.spec.js","",""
"","0","has title","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","1473","contact page submit with arun@gmail.com and asdfghjklk","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","389","contact page title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","30043","test","chromium","2026-03-12","broken","2026-03-12","","example.spec.js","",""
"","3258","iphone 17 pro","firefox","2026-03-12","passed","2026-03-12","","apple.spec.js","",""
