"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","942","Search test for JavaScript","firefox","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1725","10. File Upload","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","test","chromium","2026-03-13","skipped","2026-03-13","","flipcart.spec.js","",""
"","0","has title","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","1469","7. Select from Dropdown","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1888","Polling Assertions","chromium","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","2034","9. Dynamic Loading - Wait for element","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","2626","test","webkit","2026-03-13","passed","2026-03-13","","RR.spec.js","",""
"","1713","2. Verify secure area without logging in again","webkit","2026-03-13","passed","2026-03-13","Authentication Management > Tests that require login","auth.spec.js","",""
"","1","contact page submit with Pk@gmail.com and asdfghjklk","chromium","2026-03-13","skipped","2026-03-13","","Instagram.spec.js","",""
"","30081","4. Interact with IFrame","firefox","2026-03-13","broken","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1087","Search test for Python","webkit","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","361","get started link","chromium","2026-03-13","passed","2026-03-13","","example.spec.js","",""
"","1","test","firefox","2026-03-13","skipped","2026-03-13","","flipcart.spec.js","",""
"","1202","6. Drag and Drop","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","30033","4. Interact with IFrame","chromium","2026-03-13","broken","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","2195","get started link","webkit","2026-03-13","passed","2026-03-13","","example.spec.js","",""
"","0","contact page submit with aaryan@gmail.com and asdfghjklk","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","1583","6. Drag and Drop","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","2394","10. File Upload","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","has title","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","30040","4. Interact with IFrame","webkit","2026-03-13","broken","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","test","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","1","contact page submit","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","336","Soft Assertions","webkit","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","0","contact page submit with aaryan@gmail.com and asdfghjklk","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","651","Search test for Python","chromium","2026-03-13","passed","2026-03-13","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1","contact page title","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","1","contact page submit with Vanish@gmail.com and asdfghjklk","webkit","2026-03-13","skipped","2026-03-13","","Instagram.spec.js","",""
"","0","contact page submit with aaryan@gmail.com and asdfghjklk","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","1887","7. Select from Dropdown","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1","has title","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","0","contact page submit with Pk@gmail.com and asdfghjklk","firefox","2026-03-13","skipped","2026-03-13","","Instagram.spec.js","",""
"","1954","8. Handle Checkboxes","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
